Sales Dashboard
Last updated,February 08 2026 6:39:39 PM PST

Filter Selection
Date,Month to date - February 08 2026
Sales breakdown,Marketplace total
Fulfillment Channel,Both (Amazon and seller)

Sales Snapshot
Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
975,1003,"$19,541.51",1.03,20.04
Compare Sales - Graph view
Time,This month so far (Ordered product sales),This month so far (Units ordered),Last month (Ordered product sales),Last month (Units ordered),Same month last year (Ordered product sales),Same month last year (Units ordered)
1,"$2,070.65",106.0,"$1,721.81",92.0,"$1,805.42",99.0
2,"$2,345.69",130.0,"$2,699.01",138.0,"$1,798.40",91.0
3,"$2,518.17",118.0,"$2,163.29",114.0,"$1,355.93",71.0
4,"$2,905.30",141.0,"$1,742.05",89.0,"$1,448.10",74.0
5,"$3,027.63",151.0,"$1,829.80",93.0,"$2,066.79",103.0
6,"$2,680.35",143.0,"$1,815.10",88.0,"$1,765.86",84.0
7,"$2,450.67",128.0,"$2,145.13",105.0,"$1,573.66",84.0
8,"$1,543.05",86.0,"$2,285.33",127.0,"$1,593.05",88.0
9,,,"$2,692.54",145.0,"$1,277.56",63.0
10,,,"$2,675.76",132.0,"$1,523.15",86.0
11,,,"$3,009.82",143.0,"$1,566.92",64.0
12,,,"$2,002.01",99.0,"$1,448.40",76.0
13,,,"$2,674.32",129.0,"$1,383.31",76.0
14,,,"$2,289.73",117.0,"$1,799.67",94.0
15,,,"$2,502.22",127.0,"$1,842.19",107.0
16,,,"$2,389.53",132.0,"$1,800.52",96.0
17,,,"$2,114.14",109.0,"$1,585.79",74.0
18,,,"$1,955.57",103.0,"$1,655.10",72.0
19,,,"$2,187.53",106.0,"$2,021.44",93.0
20,,,"$2,390.57",111.0,"$1,681.52",81.0
21,,,"$2,425.89",105.0,"$2,405.24",111.0
22,,,"$1,715.00",101.0,"$2,074.85",103.0
23,,,"$1,493.15",72.0,"$1,738.34",92.0
24,,,"$2,137.52",93.0,"$1,489.21",74.0
25,,,"$1,353.55",84.0,"$1,805.56",94.0
26,,,"$2,565.41",99.0,"$2,067.04",107.0
27,,,"$1,927.00",101.0,"$2,310.40",116.0
28,,,"$2,092.13",110.0,"$2,796.71",122.0
29,,,"$2,967.84",142.0,,
30,,,"$2,431.53",129.0,,
31,,,"$2,614.22",135.0,,
Compare Sales - Table view
,Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
This month so far,975,1003,"$19,541.51",1.03,20.04
Last month,3342,3470,"$69,008.50",1.04,20.65
Same month last year,2419,2495,"$49,680.13",1.03,20.54
% change from last month,21%,22%,22.69%,0.0%,0.7541555%
This month through 2/8/26 6PM PST,973,1001,"$19,498.27",1.03,20.04
Last month through 1/8/26 6PM PST,799,820,"$15,892.34",1.03,19.89
% change from same month last year,47%,49%,49.46%,0.98039126%,1.2121297%
This month through 2/8/26 6PM PST,973,1001,"$19,498.27",1.03,20.04
Same month last year through 2/8/25 6PM PST,659,670,"$13,046.02",1.02,19.8
