Sales Dashboard
Last updated,February 09 2026 5:32:54 AM PST

Filter Selection
Date,Month to date - February 09 2026
Sales breakdown,Marketplace total
Fulfillment Channel,Both (Amazon and seller)

Sales Snapshot
Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
109,111,"$5,219.03",1.02,47.88
Compare Sales - Graph view
Time,This month so far (Ordered product sales),This month so far (Units ordered),Last month (Ordered product sales),Last month (Units ordered),Same month last year (Ordered product sales),Same month last year (Units ordered)
1,"$184.74",7.0,"$344.79",5.0,"$837.53",11.0
2,"$935.23",17.0,"$389.59",9.0,"$370.72",8.0
3,"$780.17",19.0,"$424.68",8.0,"$430.65",7.0
4,"$1,404.17",19.0,"$415.75",5.0,"$268.69",7.0
5,"$433.35",14.0,"$892.24",16.0,"$307.80",5.0
6,"$515.44",12.0,"$302.60",8.0,"$386.53",11.0
7,"$715.29",15.0,"$395.53",11.0,"$459.68",8.0
8,"$250.64",8.0,"$680.35",13.0,"$127.88",4.0
9,"$0.00",0.0,"$673.30",14.0,"$441.74",6.0
10,,,"$1,164.30",15.0,"$531.64",8.0
11,,,"$300.50",10.0,"$585.59",9.0
12,,,"$249.84",5.0,"$331.74",6.0
13,,,"$679.40",12.0,"$668.57",11.0
14,,,"$399.65",7.0,"$232.77",7.0
15,,,"$835.41",15.0,"$535.69",11.0
16,,,"$788.35",13.0,"$87.80",4.0
17,,,"$676.36",17.0,"$1,435.29",15.0
18,,,"$811.34",14.0,"$138.79",5.0
19,,,"$1,562.83",25.0,"$319.79",5.0
20,,,"$556.39",13.0,"$251.70",6.0
21,,,"$716.28",16.0,"$329.69",7.0
22,,,"$308.49",11.0,"$461.65",7.0
23,,,"$346.55",9.0,"$172.74",6.0
24,,,"$554.55",9.0,"$292.74",6.0
25,,,"$255.64",8.0,"$201.74",6.0
26,,,"$629.49",11.0,"$296.75",5.0
27,,,"$544.40",12.0,"$398.53",11.0
28,,,"$304.58",10.0,"$299.79",5.0
29,,,"$685.13",19.0,,
30,,,"$1,256.02",22.0,,
31,,,"$364.68",8.0,,
Compare Sales - Table view
,Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
This month so far,109,111,"$5,219.03",1.02,47.88
Last month,350,370,"$18,509.01",1.06,52.88
Same month last year,196,207,"$11,204.22",1.06,57.16
% change from last month,43%,44%,33.12%,0.99009806%,-7.173324%
This month through 2/9/26 5AM PST,109,111,"$5,219.03",1.02,47.88
Last month through 1/9/26 5AM PST,76,77,"$3,920.43",1.01,51.58
% change from same month last year,78%,79%,62.31%,0.0%,-9.163343%
This month through 2/9/26 5AM PST,109,111,"$5,219.03",1.02,47.88
Same month last year through 2/9/25 5AM PST,61,62,"$3,215.43",1.02,52.71
