Sales Dashboard
Last updated,February 08 2026 6:47:46 PM PST

Filter Selection
Date,Custom
Sales breakdown,Marketplace total
Fulfillment Channel,Both (Amazon and seller)

Sales Snapshot
Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
436,458,"$22,501.03",1.05,51.61
Compare Sales - Graph view
Time,Selected date range (Ordered product sales),Selected date range (Units ordered),Same date range one year ago (Ordered product sales),Same date range one year ago (Units ordered)
2026-01-04T00:00:00,"$415.75",5.0,"$476.54",10.0
2026-01-05T00:00:00,"$892.24",16.0,"$411.64",8.0
2026-01-06T00:00:00,"$302.60",8.0,"$121.80",5.0
2026-01-07T00:00:00,"$395.53",11.0,"$359.74",6.0
2026-01-08T00:00:00,"$680.35",13.0,"$108.79",5.0
2026-01-09T00:00:00,"$673.30",14.0,"$631.49",11.0
2026-01-10T00:00:00,"$1,164.30",15.0,"$394.75",5.0
2026-01-11T00:00:00,"$300.50",10.0,"$271.79",5.0
2026-01-12T00:00:00,"$249.84",5.0,"$298.69",7.0
2026-01-13T00:00:00,"$679.40",12.0,"$476.65",7.0
2026-01-14T00:00:00,"$399.65",7.0,"$414.82",6.0
2026-01-15T00:00:00,"$835.41",15.0,"$477.40",12.0
2026-01-16T00:00:00,"$788.35",13.0,"$211.84",4.0
2026-01-17T00:00:00,"$676.36",17.0,"$1,074.54",10.0
2026-01-18T00:00:00,"$811.34",14.0,"$630.54",10.0
2026-01-19T00:00:00,"$1,562.83",25.0,"$186.74",6.0
2026-01-20T00:00:00,"$556.39",13.0,"$485.55",9.0
2026-01-21T00:00:00,"$716.28",16.0,"$260.74",6.0
2026-01-22T00:00:00,"$308.49",11.0,"$450.59",9.0
2026-01-23T00:00:00,"$346.55",9.0,"$550.35",33.0
2026-01-24T00:00:00,"$554.55",9.0,"$500.65",7.0
2026-01-25T00:00:00,"$255.64",8.0,"$327.59",9.0
2026-01-26T00:00:00,"$629.49",11.0,"$586.64",8.0
2026-01-27T00:00:00,"$544.40",12.0,"$567.66",10.0
2026-01-28T00:00:00,"$304.58",10.0,"$317.70",6.0
2026-01-29T00:00:00,"$685.13",19.0,"$634.37",15.0
2026-01-30T00:00:00,"$1,256.02",22.0,"$1,575.21",19.0
2026-01-31T00:00:00,"$364.68",8.0,"$979.59",9.0
2026-02-01T00:00:00,"$184.74",7.0,"$837.53",11.0
2026-02-02T00:00:00,"$935.23",17.0,"$370.72",8.0
2026-02-03T00:00:00,"$780.17",19.0,"$430.65",7.0
2026-02-04T00:00:00,"$1,404.17",19.0,"$268.69",7.0
2026-02-05T00:00:00,"$433.35",14.0,"$307.80",5.0
2026-02-06T00:00:00,"$515.44",12.0,"$386.53",11.0
2026-02-07T00:00:00,"$715.29",15.0,"$459.68",8.0
2026-02-08T00:00:00,"$182.69",7.0,"$127.88",4.0
Compare Sales - Table view
,Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
Selected date range,436,458,"$22,501.03",1.05,51.61
Same date range one year ago,263,318,"$16,973.88",1.21,64.54
% change from same date range one year ago,65%,44%,32.56%,-13.223146%,-20.034086%
Selected date range through 2/8/26 6PM PST,436,458,"$22,501.03",1.05,51.61
Same date range one year ago through 2/8/25 6PM PST,263,318,"$16,973.88",1.21,64.54
