Sales Dashboard
Last updated,February 08 2026 6:49:21 PM PST

Filter Selection
Date,Month to date - February 08 2026
Sales breakdown,Marketplace total
Fulfillment Channel,Both (Amazon and seller)

Sales Snapshot
Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
0,0,"$0.00",0.0,0.0
Compare Sales - Graph view
Time,This month so far (Ordered product sales),This month so far (Units ordered),Last month (Ordered product sales),Last month (Units ordered),Same month last year (Ordered product sales),Same month last year (Units ordered)
1,"$0.00",0.0,"$0.00",0.0,"$0.00",0.0
2,"$0.00",0.0,"$0.00",0.0,"$0.00",0.0
3,"$0.00",0.0,"$16.99",1.0,"$0.00",0.0
4,"$0.00",0.0,"$16.99",1.0,"$0.00",0.0
5,"$0.00",0.0,"$0.00",0.0,"$0.00",0.0
6,"$0.00",0.0,"$16.99",1.0,"$0.00",0.0
7,"$0.00",0.0,"$16.99",1.0,"$0.00",0.0
8,"$0.00",0.0,"$0.00",0.0,"$0.00",0.0
9,,,"$0.00",0.0,"$0.00",0.0
10,,,"$0.00",0.0,"$0.00",0.0
11,,,"$0.00",0.0,"$0.00",0.0
12,,,"$0.00",0.0,"$0.00",0.0
13,,,"$0.00",0.0,"$0.00",0.0
14,,,"$0.00",0.0,"$0.00",0.0
15,,,"$0.00",0.0,"$0.00",0.0
16,,,"$0.00",0.0,"$0.00",0.0
17,,,"$0.00",0.0,"$0.00",0.0
18,,,"$16.99",1.0,"$0.00",0.0
19,,,"$0.00",0.0,"$0.00",0.0
20,,,"$0.00",0.0,"$0.00",0.0
21,,,"$0.00",0.0,"$0.00",0.0
22,,,"$0.00",0.0,"$0.00",0.0
23,,,"$0.00",0.0,"$0.00",0.0
24,,,"$0.00",0.0,"$0.00",0.0
25,,,"$0.00",0.0,"$0.00",0.0
26,,,"$0.00",0.0,"$0.00",0.0
27,,,"$0.00",0.0,"$0.00",0.0
28,,,"$0.00",0.0,"$0.00",0.0
29,,,"$0.00",0.0,,
30,,,"$0.00",0.0,,
31,,,"$0.00",0.0,,
Compare Sales - Table view
,Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
This month so far,0,0,"$0.00",0.0,0.0
Last month,5,5,"$84.95",1.0,16.99
Same month last year,0,0,"$0.00",0.0,0.0
% change from last month,-100%,-100%,-100.00%,-100.0%,-100.0%
This month through 2/8/26 6PM PST,0,0,"$0.00",0.0,0.0
Last month through 1/8/26 6PM PST,4,4,"$67.96",1.0,16.99
% change from same month last year,N/A,N/A,N/A,N/A,N/A
This month through 2/8/26 6PM PST,0,0,"$0.00",0.0,0.0
Same month last year through 2/8/25 6PM PST,0,0,"$0.00",0.0,0.0
