Sales Dashboard
Last updated,February 08 2026 6:49:13 PM PST

Filter Selection
Date,Year to date - February 08 2026
Sales breakdown,Marketplace total
Fulfillment Channel,Both (Amazon and seller)

Sales Snapshot
Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
5,5,"$84.95",1.0,16.99
Compare Sales - Graph view
Time,This year so far (Ordered product sales),This year so far (Units ordered),Last year (Ordered product sales),Last year (Units ordered)
Jan,"$84.95",5.0,"$0.00",0.0
Feb,"$0.00",0.0,"$0.00",0.0
Mar,,,"$0.00",0.0
Apr,,,"$0.00",0.0
May,,,"$0.00",0.0
Jun,,,"$0.00",0.0
Jul,,,"$0.00",0.0
Aug,,,"$152.91",9.0
Sep,,,"$118.93",7.0
Oct,,,"$237.86",14.0
Nov,,,"$288.83",17.0
Dec,,,"$356.79",21.0
Compare Sales - Table view
,Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
This year so far,5,5,"$84.95",1.0,16.99
Last year,61,68,"$1,155.32",1.11,18.94
% change from last year,N/A,N/A,N/A,N/A,N/A
This year through 2/8/26 6PM PST,5,5,"$84.95",1.0,16.99
Last year through 2/8/25 6PM PST,0,0,"$0.00",0.0,0.0
