Sales Dashboard
Last updated,February 08 2026 7:25:7 PM PST

Filter Selection
Date,Month to date - February 08 2026
Sales breakdown,Marketplace total
Fulfillment Channel,Both (Amazon and seller)

Sales Snapshot
Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
13,13,"$222.87",1.0,17.14
Compare Sales - Graph view
Time,This month so far (Ordered product sales),This month so far (Units ordered),Last month (Ordered product sales),Last month (Units ordered),Same month last year (Ordered product sales),Same month last year (Units ordered)
1,"$0.00",0.0,"$0.00",0.0,"$0.00",0.0
2,"$0.00",0.0,"$33.98",2.0,"$0.00",0.0
3,"$133.44",6.0,"$0.00",0.0,"$0.00",0.0
4,"$54.46",4.0,"$10.99",1.0,"$0.00",0.0
5,"$10.99",1.0,"$0.00",0.0,"$0.00",0.0
6,"$11.99",1.0,"$11.99",1.0,"$0.00",0.0
7,"$11.99",1.0,"$39.97",3.0,"$0.00",0.0
8,"$0.00",0.0,"$35.98",2.0,"$0.00",0.0
9,,,"$10.99",1.0,"$0.00",0.0
10,,,"$83.97",4.0,"$0.00",0.0
11,,,"$49.46",4.0,"$0.00",0.0
12,,,"$74.97",3.0,"$0.00",0.0
13,,,"$30.48",2.0,"$0.00",0.0
14,,,"$33.97",3.0,"$0.00",0.0
15,,,"$44.97",3.0,"$0.00",0.0
16,,,"$54.97",3.0,"$0.00",0.0
17,,,"$0.00",0.0,"$0.00",0.0
18,,,"$35.99",1.0,"$0.00",0.0
19,,,"$14.99",1.0,"$0.00",0.0
20,,,"$12.99",1.0,"$0.00",0.0
21,,,"$39.48",2.0,"$0.00",0.0
22,,,"$51.47",3.0,"$0.00",0.0
23,,,"$16.99",1.0,"$0.00",0.0
24,,,"$0.00",0.0,"$0.00",0.0
25,,,"$10.99",1.0,"$0.00",0.0
26,,,"$24.99",1.0,"$0.00",0.0
27,,,"$0.00",0.0,"$0.00",0.0
28,,,"$0.00",0.0,"$0.00",0.0
29,,,"$30.99",1.0,,
30,,,"$24.99",1.0,,
31,,,"$16.99",1.0,,
Compare Sales - Table view
,Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
This month so far,13,13,"$222.87",1.0,17.14
Last month,46,46,"$797.55",1.0,17.34
Same month last year,0,0,"$0.00",0.0,0.0
% change from last month,44%,44%,67.68%,0.0%,16.046032%
This month through 2/8/26 7PM PST,13,13,"$222.87",1.0,17.14
Last month through 1/8/26 7PM PST,9,9,"$132.91",1.0,14.77
% change from same month last year,N/A,N/A,N/A,N/A,N/A
This month through 2/8/26 7PM PST,13,13,"$222.87",1.0,17.14
Same month last year through 2/8/25 7PM PST,0,0,"$0.00",0.0,0.0
