Sales Dashboard
Last updated,February 08 2026 7:25:21 PM PST

Filter Selection
Date,Custom
Sales breakdown,Marketplace total
Fulfillment Channel,Both (Amazon and seller)

Sales Snapshot
Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
57,57,"$986.44",1.0,17.31
Compare Sales - Graph view
Time,Selected date range (Ordered product sales),Selected date range (Units ordered),Same date range one year ago (Ordered product sales),Same date range one year ago (Units ordered)
2026-01-04T00:00:00,"$10.99",1.0,"$0.00",0.0
2026-01-05T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-06T00:00:00,"$11.99",1.0,"$0.00",0.0
2026-01-07T00:00:00,"$39.97",3.0,"$0.00",0.0
2026-01-08T00:00:00,"$35.98",2.0,"$0.00",0.0
2026-01-09T00:00:00,"$10.99",1.0,"$0.00",0.0
2026-01-10T00:00:00,"$83.97",4.0,"$0.00",0.0
2026-01-11T00:00:00,"$49.46",4.0,"$0.00",0.0
2026-01-12T00:00:00,"$74.97",3.0,"$0.00",0.0
2026-01-13T00:00:00,"$30.48",2.0,"$0.00",0.0
2026-01-14T00:00:00,"$33.97",3.0,"$0.00",0.0
2026-01-15T00:00:00,"$44.97",3.0,"$0.00",0.0
2026-01-16T00:00:00,"$54.97",3.0,"$0.00",0.0
2026-01-17T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-18T00:00:00,"$35.99",1.0,"$0.00",0.0
2026-01-19T00:00:00,"$14.99",1.0,"$0.00",0.0
2026-01-20T00:00:00,"$12.99",1.0,"$0.00",0.0
2026-01-21T00:00:00,"$39.48",2.0,"$0.00",0.0
2026-01-22T00:00:00,"$51.47",3.0,"$0.00",0.0
2026-01-23T00:00:00,"$16.99",1.0,"$0.00",0.0
2026-01-24T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-25T00:00:00,"$10.99",1.0,"$0.00",0.0
2026-01-26T00:00:00,"$24.99",1.0,"$0.00",0.0
2026-01-27T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-28T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-29T00:00:00,"$30.99",1.0,"$0.00",0.0
2026-01-30T00:00:00,"$24.99",1.0,"$0.00",0.0
2026-01-31T00:00:00,"$16.99",1.0,"$0.00",0.0
2026-02-01T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-02-02T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-02-03T00:00:00,"$133.44",6.0,"$0.00",0.0
2026-02-04T00:00:00,"$54.46",4.0,"$0.00",0.0
2026-02-05T00:00:00,"$10.99",1.0,"$0.00",0.0
2026-02-06T00:00:00,"$11.99",1.0,"$0.00",0.0
2026-02-07T00:00:00,"$11.99",1.0,"$0.00",0.0
2026-02-08T00:00:00,"$0.00",0.0,"$0.00",0.0
Compare Sales - Table view
,Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
Selected date range,57,57,"$986.44",1.0,17.31
Same date range one year ago,0,0,"$0.00",0.0,0.0
% change from same date range one year ago,N/A,N/A,N/A,N/A,N/A
Selected date range through 2/8/26 7PM PST,57,57,"$986.44",1.0,17.31
Same date range one year ago through 2/8/25 7PM PST,0,0,"$0.00",0.0,0.0
