Sales Dashboard
Last updated,February 08 2026 7:24:58 PM PST

Filter Selection
Date,Year to date - February 08 2026
Sales breakdown,Marketplace total
Fulfillment Channel,Both (Amazon and seller)

Sales Snapshot
Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
59,59,"$1,020.42",1.0,17.3
Compare Sales - Graph view
Time,This year so far (Ordered product sales),This year so far (Units ordered),Last year (Ordered product sales),Last year (Units ordered)
Jan,"$797.55",46.0,"$0.00",0.0
Feb,"$222.87",13.0,"$0.00",0.0
Mar,,,"$0.00",0.0
Apr,,,"$0.00",0.0
May,,,"$0.00",0.0
Jun,,,"$0.00",0.0
Jul,,,"$11.99",1.0
Aug,,,"$0.00",0.0
Sep,,,"$0.00",0.0
Oct,,,"$0.00",0.0
Nov,,,"$0.00",0.0
Dec,,,"$85.42",8.0
Compare Sales - Table view
,Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
This year so far,59,59,"$1,020.42",1.0,17.3
Last year,9,9,"$97.41",1.0,10.82
% change from last year,N/A,N/A,N/A,N/A,N/A
This year through 2/8/26 7PM PST,59,59,"$1,020.42",1.0,17.3
Last year through 2/8/25 7PM PST,0,0,"$0.00",0.0,0.0
