Sales Dashboard
Last updated,February 08 2026 6:44:41 PM PST

Filter Selection
Date,Month to date - February 08 2026
Sales breakdown,Marketplace total
Fulfillment Channel,Both (Amazon and seller)

Sales Snapshot
Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
13,19,"$548.24",1.46,42.17
Compare Sales - Graph view
Time,This month so far (Ordered product sales),This month so far (Units ordered),Last month (Ordered product sales),Last month (Units ordered),Same month last year (Ordered product sales),Same month last year (Units ordered)
1,"$30.00",1.0,"$22.99",1.0,"$0.00",0.0
2,"$178.50",6.0,"$68.97",3.0,"$0.00",0.0
3,"$87.00",3.0,"$0.00",0.0,"$0.00",0.0
4,"$180.00",6.0,"$68.97",3.0,"$0.00",0.0
5,"$42.74",2.0,"$275.88",12.0,"$0.00",0.0
6,"$30.00",1.0,"$45.98",2.0,"$0.00",0.0
7,"$0.00",0.0,"$23.58",1.0,"$0.00",0.0
8,"$0.00",0.0,"$47.16",2.0,"$0.00",0.0
9,,,"$0.00",0.0,"$0.00",0.0
10,,,"$47.16",2.0,"$0.00",0.0
11,,,"$117.90",5.0,"$0.00",0.0
12,,,"$306.54",13.0,"$0.00",0.0
13,,,"$70.74",3.0,"$0.00",0.0
14,,,"$14.24",1.0,"$0.00",0.0
15,,,"$94.32",4.0,"$0.00",0.0
16,,,"$23.58",1.0,"$0.00",0.0
17,,,"$47.16",2.0,"$0.00",0.0
18,,,"$23.58",1.0,"$0.00",0.0
19,,,"$23.58",1.0,"$0.00",0.0
20,,,"$117.90",5.0,"$0.00",0.0
21,,,"$23.58",1.0,"$0.00",0.0
22,,,"$117.90",5.0,"$0.00",0.0
23,,,"$23.58",1.0,"$0.00",0.0
24,,,"$70.74",3.0,"$0.00",0.0
25,,,"$47.16",2.0,"$0.00",0.0
26,,,"$23.58",1.0,"$0.00",0.0
27,,,"$0.00",0.0,"$0.00",0.0
28,,,"$30.00",1.0,"$0.00",0.0
29,,,"$0.00",0.0,,
30,,,"$330.99",1.0,,
31,,,"$0.00",0.0,,
Compare Sales - Table view
,Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
This month so far,13,19,"$548.24",1.46,42.17
Last month,56,77,"$2,107.76",1.38,37.64
Same month last year,0,0,"$0.00",0.0,0.0
% change from last month,-13%,-20%,-0.96%,-8.749999%,14.281833%
This month through 2/8/26 6PM PST,13,19,"$548.24",1.46,42.17
Last month through 1/8/26 6PM PST,15,24,"$553.53",1.6,36.9
% change from same month last year,N/A,N/A,N/A,N/A,N/A
This month through 2/8/26 6PM PST,13,19,"$548.24",1.46,42.17
Same month last year through 2/8/25 6PM PST,0,0,"$0.00",0.0,0.0
