Sales Dashboard
Last updated,February 08 2026 6:44:59 PM PST

Filter Selection
Date,Custom
Sales breakdown,Marketplace total
Fulfillment Channel,Both (Amazon and seller)

Sales Snapshot
Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
65,92,"$2,564.04",1.42,39.45
Compare Sales - Graph view
Time,Selected date range (Ordered product sales),Selected date range (Units ordered),Same date range one year ago (Ordered product sales),Same date range one year ago (Units ordered)
2026-01-04T00:00:00,"$68.97",3.0,"$0.00",0.0
2026-01-05T00:00:00,"$275.88",12.0,"$0.00",0.0
2026-01-06T00:00:00,"$45.98",2.0,"$0.00",0.0
2026-01-07T00:00:00,"$23.58",1.0,"$0.00",0.0
2026-01-08T00:00:00,"$47.16",2.0,"$0.00",0.0
2026-01-09T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-10T00:00:00,"$47.16",2.0,"$0.00",0.0
2026-01-11T00:00:00,"$117.90",5.0,"$0.00",0.0
2026-01-12T00:00:00,"$306.54",13.0,"$0.00",0.0
2026-01-13T00:00:00,"$70.74",3.0,"$0.00",0.0
2026-01-14T00:00:00,"$14.24",1.0,"$0.00",0.0
2026-01-15T00:00:00,"$94.32",4.0,"$0.00",0.0
2026-01-16T00:00:00,"$23.58",1.0,"$0.00",0.0
2026-01-17T00:00:00,"$47.16",2.0,"$0.00",0.0
2026-01-18T00:00:00,"$23.58",1.0,"$0.00",0.0
2026-01-19T00:00:00,"$23.58",1.0,"$0.00",0.0
2026-01-20T00:00:00,"$117.90",5.0,"$0.00",0.0
2026-01-21T00:00:00,"$23.58",1.0,"$0.00",0.0
2026-01-22T00:00:00,"$117.90",5.0,"$0.00",0.0
2026-01-23T00:00:00,"$23.58",1.0,"$0.00",0.0
2026-01-24T00:00:00,"$70.74",3.0,"$0.00",0.0
2026-01-25T00:00:00,"$47.16",2.0,"$0.00",0.0
2026-01-26T00:00:00,"$23.58",1.0,"$0.00",0.0
2026-01-27T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-28T00:00:00,"$30.00",1.0,"$0.00",0.0
2026-01-29T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-30T00:00:00,"$330.99",1.0,"$0.00",0.0
2026-01-31T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-02-01T00:00:00,"$30.00",1.0,"$0.00",0.0
2026-02-02T00:00:00,"$178.50",6.0,"$0.00",0.0
2026-02-03T00:00:00,"$87.00",3.0,"$0.00",0.0
2026-02-04T00:00:00,"$180.00",6.0,"$0.00",0.0
2026-02-05T00:00:00,"$42.74",2.0,"$0.00",0.0
2026-02-06T00:00:00,"$30.00",1.0,"$0.00",0.0
2026-02-07T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-02-08T00:00:00,"$0.00",0.0,"$0.00",0.0
Compare Sales - Table view
,Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
Selected date range,65,92,"$2,564.04",1.42,39.45
Same date range one year ago,0,0,"$0.00",0.0,0.0
% change from same date range one year ago,N/A,N/A,N/A,N/A,N/A
Selected date range through 2/8/26 6PM PST,65,92,"$2,564.04",1.42,39.45
Same date range one year ago through 2/8/25 6PM PST,0,0,"$0.00",0.0,0.0
