Sales Dashboard
Last updated,February 08 2026 6:50:20 PM PST

Filter Selection
Date,Month to date - February 08 2026
Sales breakdown,Marketplace total
Fulfillment Channel,Both (Amazon and seller)

Sales Snapshot
Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
53,59,"$2,977.22",1.11,56.17
Compare Sales - Graph view
Time,This month so far (Ordered product sales),This month so far (Units ordered),Last month (Ordered product sales),Last month (Units ordered),Same month last year (Ordered product sales),Same month last year (Units ordered)
1,"$699.30",14.0,"$479.59",9.0,"$119.93",3.0
2,"$89.90",2.0,"$329.70",6.0,"$99.90",2.0
3,"$369.65",7.0,"$349.65",7.0,"$99.98",2.0
4,"$329.78",6.0,"$569.45",11.0,"$39.95",1.0
5,"$359.65",7.0,"$389.60",8.0,"$154.89",3.0
6,"$599.40",13.0,"$179.80",4.0,"$109.90",2.0
7,"$359.69",7.0,"$229.75",5.0,"$114.94",2.0
8,"$169.85",3.0,"$499.63",9.0,"$64.99",1.0
9,,,"$459.55",9.0,"$259.87",5.0
10,,,"$204.84",4.0,"$189.95",5.0
11,,,"$419.55",9.0,"$119.98",2.0
12,,,"$309.65",7.0,"$49.95",1.0
13,,,"$249.75",5.0,"$39.95",1.0
14,,,"$379.65",7.0,"$219.88",4.0
15,,,"$419.59",9.0,"$119.90",2.0
16,,,"$549.40",12.0,"$99.98",2.0
17,,,"$269.75",5.0,"$0.00",0.0
18,,,"$417.64",8.0,"$99.90",2.0
19,,,"$199.80",4.0,"$104.94",2.0
20,,,"$169.80",5.0,"$119.98",2.0
21,,,"$59.95",1.0,"$39.99",1.0
22,,,"$269.75",5.0,"$214.95",5.0
23,,,"$269.75",5.0,"$89.94",2.0
24,,,"$239.75",5.0,"$199.88",4.0
25,,,"$259.74",6.0,"$0.00",0.0
26,,,"$189.80",4.0,"$194.84",4.0
27,,,"$469.59",9.0,"$0.00",0.0
28,,,"$359.77",7.0,"$109.90",2.0
29,,,"$239.75",5.0,,
30,,,"$339.65",7.0,,
31,,,"$599.49",11.0,,
Compare Sales - Table view
,Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
This month so far,53,59,"$2,977.22",1.11,56.17
Last month,193,208,"$10,373.13",1.08,53.75
Same month last year,54,62,"$3,078.26",1.15,57.0
% change from last month,-3%,1%,0.68%,5.714292%,4.4634514%
This month through 2/8/26 6PM PST,53,59,"$2,977.22",1.11,56.17
Last month through 1/8/26 6PM PST,55,58,"$2,957.18",1.05,53.77
% change from same month last year,278%,293%,302.60%,3.738314%,6.342292%
This month through 2/8/26 6PM PST,53,59,"$2,977.22",1.11,56.17
Same month last year through 2/8/25 6PM PST,14,15,"$739.49",1.07,52.82
