Sales Dashboard
Last updated,February 09 2026 5:36:55 AM PST

Filter Selection
Date,Month to date - February 09 2026
Sales breakdown,Marketplace total
Fulfillment Channel,Both (Amazon and seller)

Sales Snapshot
Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
54,61,"$3,092.08",1.13,57.26
Compare Sales - Graph view
Time,This month so far (Ordered product sales),This month so far (Units ordered),Last month (Ordered product sales),Last month (Units ordered),Same month last year (Ordered product sales),Same month last year (Units ordered)
1,"$699.30",14.0,"$479.59",9.0,"$119.93",3.0
2,"$89.90",2.0,"$329.70",6.0,"$99.90",2.0
3,"$369.65",7.0,"$349.65",7.0,"$99.98",2.0
4,"$264.79",5.0,"$569.45",11.0,"$39.95",1.0
5,"$359.65",7.0,"$389.60",8.0,"$154.89",3.0
6,"$599.40",13.0,"$179.80",4.0,"$109.90",2.0
7,"$359.69",7.0,"$229.75",5.0,"$114.94",2.0
8,"$349.70",6.0,"$499.63",9.0,"$64.99",1.0
9,"$0.00",0.0,"$459.55",9.0,"$259.87",5.0
10,,,"$204.84",4.0,"$189.95",5.0
11,,,"$419.55",9.0,"$119.98",2.0
12,,,"$309.65",7.0,"$49.95",1.0
13,,,"$249.75",5.0,"$39.95",1.0
14,,,"$379.65",7.0,"$219.88",4.0
15,,,"$419.59",9.0,"$119.90",2.0
16,,,"$549.40",12.0,"$99.98",2.0
17,,,"$269.75",5.0,"$0.00",0.0
18,,,"$417.64",8.0,"$99.90",2.0
19,,,"$199.80",4.0,"$104.94",2.0
20,,,"$169.80",5.0,"$119.98",2.0
21,,,"$59.95",1.0,"$39.99",1.0
22,,,"$269.75",5.0,"$214.95",5.0
23,,,"$269.75",5.0,"$89.94",2.0
24,,,"$239.75",5.0,"$199.88",4.0
25,,,"$259.74",6.0,"$0.00",0.0
26,,,"$189.80",4.0,"$194.84",4.0
27,,,"$469.59",9.0,"$0.00",0.0
28,,,"$359.77",7.0,"$109.90",2.0
29,,,"$239.75",5.0,,
30,,,"$339.65",7.0,,
31,,,"$599.49",11.0,,
Compare Sales - Table view
,Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
This month so far,54,61,"$3,092.08",1.13,57.26
Last month,193,208,"$10,373.13",1.08,53.75
Same month last year,54,62,"$3,078.26",1.15,57.0
% change from last month,-6%,0%,-1.75%,7.6190515%,5.528935%
This month through 2/9/26 5AM PST,54,61,"$3,092.08",1.13,57.26
Last month through 1/9/26 5AM PST,58,61,"$3,147.07",1.05,54.26
% change from same month last year,237%,258%,255.63%,6.603779%,5.3735704%
This month through 2/9/26 5AM PST,54,61,"$3,092.08",1.13,57.26
Same month last year through 2/9/25 5AM PST,16,17,"$869.47",1.06,54.34
