Sales Dashboard
Last updated,February 08 2026 6:50:32 PM PST

Filter Selection
Date,Custom
Sales breakdown,Marketplace total
Fulfillment Channel,Both (Amazon and seller)

Sales Snapshot
Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
225,245,"$12,191.41",1.09,54.18
Compare Sales - Graph view
Time,Selected date range (Ordered product sales),Selected date range (Units ordered),Same date range one year ago (Ordered product sales),Same date range one year ago (Units ordered)
2026-01-04T00:00:00,"$569.45",11.0,"$229.96",4.0
2026-01-05T00:00:00,"$389.60",8.0,"$164.89",3.0
2026-01-06T00:00:00,"$179.80",4.0,"$199.92",4.0
2026-01-07T00:00:00,"$229.75",5.0,"$159.93",3.0
2026-01-08T00:00:00,"$499.63",9.0,"$39.95",1.0
2026-01-09T00:00:00,"$459.55",9.0,"$159.89",3.0
2026-01-10T00:00:00,"$204.84",4.0,"$0.00",0.0
2026-01-11T00:00:00,"$419.55",9.0,"$0.00",0.0
2026-01-12T00:00:00,"$309.65",7.0,"$104.94",2.0
2026-01-13T00:00:00,"$249.75",5.0,"$49.95",1.0
2026-01-14T00:00:00,"$379.65",7.0,"$0.00",0.0
2026-01-15T00:00:00,"$419.59",9.0,"$229.75",5.0
2026-01-16T00:00:00,"$549.40",12.0,"$49.95",1.0
2026-01-17T00:00:00,"$269.75",5.0,"$99.90",2.0
2026-01-18T00:00:00,"$417.64",8.0,"$49.95",1.0
2026-01-19T00:00:00,"$199.80",4.0,"$49.95",1.0
2026-01-20T00:00:00,"$169.80",5.0,"$189.80",4.0
2026-01-21T00:00:00,"$59.95",1.0,"$0.00",0.0
2026-01-22T00:00:00,"$269.75",5.0,"$99.90",2.0
2026-01-23T00:00:00,"$269.75",5.0,"$0.00",0.0
2026-01-24T00:00:00,"$239.75",5.0,"$209.84",4.0
2026-01-25T00:00:00,"$259.74",6.0,"$289.83",5.0
2026-01-26T00:00:00,"$189.80",4.0,"$129.85",3.0
2026-01-27T00:00:00,"$469.59",9.0,"$49.95",1.0
2026-01-28T00:00:00,"$359.77",7.0,"$49.95",1.0
2026-01-29T00:00:00,"$239.75",5.0,"$49.99",1.0
2026-01-30T00:00:00,"$339.65",7.0,"$39.95",1.0
2026-01-31T00:00:00,"$599.49",11.0,"$49.95",1.0
2026-02-01T00:00:00,"$699.30",14.0,"$119.93",3.0
2026-02-02T00:00:00,"$89.90",2.0,"$99.90",2.0
2026-02-03T00:00:00,"$369.65",7.0,"$99.98",2.0
2026-02-04T00:00:00,"$329.78",6.0,"$39.95",1.0
2026-02-05T00:00:00,"$359.65",7.0,"$154.89",3.0
2026-02-06T00:00:00,"$599.40",13.0,"$109.90",2.0
2026-02-07T00:00:00,"$359.69",7.0,"$114.94",2.0
2026-02-08T00:00:00,"$169.85",3.0,"$64.99",1.0
Compare Sales - Table view
,Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
Selected date range,225,245,"$12,191.41",1.09,54.18
Same date range one year ago,64,70,"$3,552.42",1.09,55.51
% change from same date range one year ago,251%,250%,243.19%,0.0%,-2.3959613%
Selected date range through 2/8/26 6PM PST,225,245,"$12,191.41",1.09,54.18
Same date range one year ago through 2/8/25 6PM PST,64,70,"$3,552.42",1.09,55.51
