Sales Dashboard
Last updated,February 09 2026 5:37:24 AM PST

Filter Selection
Date,Month to date - February 09 2026
Sales breakdown,Marketplace total
Fulfillment Channel,Both (Amazon and seller)

Sales Snapshot
Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
9,9,"$415.55",1.0,46.17
Compare Sales - Graph view
Time,This month so far (Ordered product sales),This month so far (Units ordered),Last month (Ordered product sales),Last month (Units ordered),Same month last year (Ordered product sales),Same month last year (Units ordered)
1,"$33.95",1.0,"$0.00",0.0,"$0.00",0.0
2,"$36.95",1.0,"$0.00",0.0,"$0.00",0.0
3,"$119.90",2.0,"$59.95",1.0,"$0.00",0.0
4,"$81.90",2.0,"$222.80",4.0,"$0.00",0.0
5,"$0.00",0.0,"$0.00",0.0,"$0.00",0.0
6,"$44.95",1.0,"$34.95",1.0,"$0.00",0.0
7,"$36.95",1.0,"$34.95",1.0,"$0.00",0.0
8,"$60.95",1.0,"$0.00",0.0,"$0.00",0.0
9,"$0.00",0.0,"$165.85",3.0,"$0.00",0.0
10,,,"$0.00",0.0,"$0.00",0.0
11,,,"$32.95",1.0,"$0.00",0.0
12,,,"$34.95",1.0,"$0.00",0.0
13,,,"$0.00",0.0,"$0.00",0.0
14,,,"$57.95",1.0,"$0.00",0.0
15,,,"$57.95",1.0,"$0.00",0.0
16,,,"$158.85",3.0,"$0.00",0.0
17,,,"$34.95",1.0,"$0.00",0.0
18,,,"$0.00",0.0,"$0.00",0.0
19,,,"$72.90",2.0,"$0.00",0.0
20,,,"$150.85",3.0,"$0.00",0.0
21,,,"$77.90",2.0,"$0.00",0.0
22,,,"$85.90",2.0,"$0.00",0.0
23,,,"$77.90",2.0,"$0.00",0.0
24,,,"$34.95",1.0,"$0.00",0.0
25,,,"$34.95",1.0,"$0.00",0.0
26,,,"$42.95",1.0,"$0.00",0.0
27,,,"$0.00",0.0,"$0.00",0.0
28,,,"$62.90",2.0,"$0.00",0.0
29,,,"$0.00",0.0,,
30,,,"$0.00",0.0,,
31,,,"$60.95",1.0,,
Compare Sales - Table view
,Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
This month so far,9,9,"$415.55",1.0,46.17
Last month,33,35,"$1,598.25",1.06,48.43
Same month last year,0,0,"$0.00",0.0,0.0
% change from last month,50%,28%,17.84%,-14.529912%,-21.439514%
This month through 2/9/26 5AM PST,9,9,"$415.55",1.0,46.17
Last month through 1/9/26 5AM PST,6,7,"$352.65",1.17,58.77
% change from same month last year,N/A,N/A,N/A,N/A,N/A
This month through 2/9/26 5AM PST,9,9,"$415.55",1.0,46.17
Same month last year through 2/9/25 5AM PST,0,0,"$0.00",0.0,0.0
