Sales Dashboard
Last updated,February 08 2026 6:52:25 PM PST

Filter Selection
Date,Custom
Sales breakdown,Marketplace total
Fulfillment Channel,Both (Amazon and seller)

Sales Snapshot
Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
41,43,"$1,953.85",1.05,47.65
Compare Sales - Graph view
Time,Selected date range (Ordered product sales),Selected date range (Units ordered),Same date range one year ago (Ordered product sales),Same date range one year ago (Units ordered)
2026-01-04T00:00:00,"$222.80",4.0,"$0.00",0.0
2026-01-05T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-06T00:00:00,"$34.95",1.0,"$0.00",0.0
2026-01-07T00:00:00,"$34.95",1.0,"$0.00",0.0
2026-01-08T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-09T00:00:00,"$165.85",3.0,"$0.00",0.0
2026-01-10T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-11T00:00:00,"$32.95",1.0,"$0.00",0.0
2026-01-12T00:00:00,"$34.95",1.0,"$0.00",0.0
2026-01-13T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-14T00:00:00,"$57.95",1.0,"$0.00",0.0
2026-01-15T00:00:00,"$57.95",1.0,"$0.00",0.0
2026-01-16T00:00:00,"$158.85",3.0,"$0.00",0.0
2026-01-17T00:00:00,"$34.95",1.0,"$0.00",0.0
2026-01-18T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-19T00:00:00,"$72.90",2.0,"$0.00",0.0
2026-01-20T00:00:00,"$150.85",3.0,"$0.00",0.0
2026-01-21T00:00:00,"$77.90",2.0,"$0.00",0.0
2026-01-22T00:00:00,"$85.90",2.0,"$0.00",0.0
2026-01-23T00:00:00,"$77.90",2.0,"$0.00",0.0
2026-01-24T00:00:00,"$34.95",1.0,"$0.00",0.0
2026-01-25T00:00:00,"$34.95",1.0,"$0.00",0.0
2026-01-26T00:00:00,"$42.95",1.0,"$0.00",0.0
2026-01-27T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-28T00:00:00,"$62.90",2.0,"$0.00",0.0
2026-01-29T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-30T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-01-31T00:00:00,"$60.95",1.0,"$0.00",0.0
2026-02-01T00:00:00,"$33.95",1.0,"$0.00",0.0
2026-02-02T00:00:00,"$36.95",1.0,"$0.00",0.0
2026-02-03T00:00:00,"$119.90",2.0,"$0.00",0.0
2026-02-04T00:00:00,"$81.90",2.0,"$0.00",0.0
2026-02-05T00:00:00,"$0.00",0.0,"$0.00",0.0
2026-02-06T00:00:00,"$44.95",1.0,"$0.00",0.0
2026-02-07T00:00:00,"$36.95",1.0,"$0.00",0.0
2026-02-08T00:00:00,"$60.95",1.0,"$0.00",0.0
Compare Sales - Table view
,Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
Selected date range,41,43,"$1,953.85",1.05,47.65
Same date range one year ago,0,0,"$0.00",0.0,0.0
% change from same date range one year ago,N/A,N/A,N/A,N/A,N/A
Selected date range through 2/8/26 6PM PST,41,43,"$1,953.85",1.05,47.65
Same date range one year ago through 2/8/25 6PM PST,0,0,"$0.00",0.0,0.0
